menu_id,restaurant_id,food_id,cuisine,price
11349,183165,28,Indian,170.0
11770,109258,28,Chinese,80.0
12034,517939,28,"South Indian,Chinese",170.0
12121,154840,28,"South Indian,Indian",220.0
12258,154840,28,"South Indian,Indian",220.0
12350,510109,28,"North Indian,Chinese",190.0
12583,174458,28,"Bengali,Indian",180.0
12746,174458,28,"Bengali,Indian",180.0
12931,486482,28,"Indian,Chinese",110.0
13070,486482,28,"Indian,Chinese",110.0
13241,102219,28,"Chinese,Indian",130.0
13305,102219,28,"Chinese,Indian",130.0
13436,364571,28,"Chinese,Continental",210.0
13593,364571,28,"Chinese,Continental",210.0
13804,413342,28,"Chinese,North Indian",160.0
14715,263185,28,"Bakery,Beverages",199.0
15035,487422,28,"Chinese,South Indian",180.0
15824,523044,28,"Chinese,North Indian",234.0
16271,545808,28,"Indian,Chinese",260.0
16368,439417,28,North Indian,110.0
16597,103649,28,Indian,195.0
17775,536499,28,"South Indian,Chinese",85.0
17828,532670,28,"Chinese,Indian",190.0
18126,536328,28,Indian,150.0
19508,378028,28,"Indian,Chinese",109.0
19691,327008,28,"Chinese,Continental",180.0
20160,102571,28,Indian,220.0
20471,451743,28,"Chinese,Tibetan",175.0
20972,549383,28,"Chinese,Biryani",90.0
20995,440950,28,"Chinese,Thai",149.0
21030,440950,28,"Chinese,Thai",149.0
21434,401391,28,"Chinese,Biryani",99.0
21513,401391,28,"Chinese,Biryani",99.0
21605,153339,28,"Indian,Chinese",269.0
21789,153339,28,"Indian,Chinese",269.0
21951,226773,28,"Chinese,Indian",120.0
22099,226773,28,"Chinese,Indian",120.0
23267,499377,28,Chinese,130.0
23343,390901,28,"Chinese,Biryani",135.0
23387,390901,28,"Chinese,Biryani",135.0
23453,127306,28,"Indian,Chinese",120.0
23514,127306,28,"Indian,Chinese",120.0
23893,308169,28,Indian,115.0
23930,308169,28,Indian,115.0
24409,163435,28,"Sweets,Snacks",75.0
24787,102578,28,"Chinese,Biryani",160.0
24839,102578,28,"Chinese,Biryani",160.0
24972,552372,28,"Chinese,Snacks",80.0
25257,120193,28,"Chinese,Indian",85.0
25321,120193,28,"Chinese,Indian",85.0
25448,102631,28,"Indian,Chinese",210.0
25592,102631,28,"Indian,Chinese",210.0
25752,102039,28,"Indian,Chinese",180.0
25844,102039,28,"Indian,Chinese",180.0
26335,306094,28,"Indian,Chinese",140.0
26463,306094,28,"Indian,Chinese",140.0
26652,102577,28,Indian,180.0
27539,102040,28,"Indian,Biryani",160.0
27730,102040,28,"Indian,Biryani",160.0
27985,530955,28,"South Indian,Chinese",140.0
29,567335,29,"Beverages,Pizzas",150.0
2638,475283,29,Indian,200.0
3778,225827,29,Chinese,99.0
3785,225827,29,Chinese,99.0
3941,186286,29,"Chinese,Fast Food",90.0
4076,166613,29,"Indian,Chinese",250.0
4108,500628,29,"Chinese,Snacks",40.0
4191,186289,29,Biryani,230.0
4320,165532,29,"Indian,Chinese",240.0
4581,169281,29,"Indian,Chinese",190.0
4779,529171,29,"Chinese,Snacks",90.0
4991,226299,29,Biryani,220.0
5024,226299,29,Biryani,220.0
5294,167412,29,Biryani,250.0
5309,503717,29,Chinese,50.0
5340,165530,29,South Indian,120.0
5989,397980,29,"Chinese,North Indian",120.0
6095,397980,29,"Chinese,North Indian",120.0
6149,533186,29,"Biryani,Chinese",140.0
6238,533186,29,"Biryani,Chinese",140.0
6276,478348,29,"North Indian,Indian",125.0
6487,410839,29,Chinese,230.0
7004,410838,29,"Chinese,Tandoor",230.0
7642,412357,29,"Chinese,Indian",132.48
7717,412357,29,"Chinese,Indian",132.48
8528,558957,29,"North Indian,Tandoor",160.0
8858,428013,29,"Chinese,Indian",130.0
9181,478936,29,"Nepalese,Chinese",190.0
9642,557008,29,"North Indian,Chinese",185.0
9784,557008,29,"North Indian,Chinese",185.0
10088,134569,29,"Indian,Chinese",260.0
10749,102042,29,"Biryani,Indian",250.0
11192,129550,29,"Indian,Tandoor",179.0
11272,183165,29,Indian,190.0
11351,183165,29,Indian,190.0
11881,483552,29,"Continental,American",286.45
12036,517939,29,"South Indian,Chinese",190.0
12351,510109,29,"North Indian,Chinese",199.0
12584,174458,29,"Bengali,Indian",220.0
12747,174458,29,"Bengali,Indian",220.0
12933,486482,29,"Indian,Chinese",129.0
13077,486482,29,"Indian,Chinese",129.0
13243,102219,29,"Chinese,Indian",180.0
13307,102219,29,"Chinese,Indian",180.0
13438,364571,29,"Chinese,Continental",250.0
13599,364571,29,"Chinese,Continental",250.0
13806,413342,29,"Chinese,North Indian",240.0
15678,523044,29,"Chinese,North Indian",273.0
15829,523044,29,"Chinese,North Indian",273.0
16372,439417,29,North Indian,170.0
16599,103649,29,Indian,225.0
17296,377434,29,"Indian,Chinese",240.0
17416,442180,29,"Indian,Bengali",240.0
17470,129551,29,"Indian,Chinese",300.0
17566,129551,29,"Indian,Chinese",300.0
17829,532670,29,"Chinese,Indian",199.0
17871,113036,29,"Indian,Chinese",220.0
18086,113036,29,"Indian,Chinese",220.0
18311,109548,29,"Indian,Chinese",285.0
18600,364627,29,"Chinese,Beverages",240.0
18998,102041,29,"Indian,Biryani",336.0
19072,102041,29,"Indian,Biryani",336.0
19237,497063,29,"Indian,Chinese",220.0
19510,378028,29,"Indian,Chinese",129.0
19689,327008,29,"Chinese,Continental",260.0
20175,102571,29,Indian,270.0
20587,102581,29,"Indian,Chinese",230.0
20865,102581,29,"Indian,Chinese",230.0
20970,549383,29,"Chinese,Biryani",110.0
20996,440950,29,"Chinese,Thai",179.0
21035,440950,29,"Chinese,Thai",179.0
21514,401391,29,"Chinese,Biryani",119.0
21608,153339,29,"Indian,Chinese",289.0
21792,153339,29,"Indian,Chinese",289.0
22110,226773,29,"Chinese,Indian",180.0
22523,125180,29,"Indian,Chinese",190.0
22616,125180,29,"Indian,Chinese",190.0
23341,390901,29,"Chinese,Biryani",165.0
23385,390901,29,"Chinese,Biryani",165.0
23454,127306,29,"Indian,Chinese",160.0
23517,127306,29,"Indian,Chinese",160.0
23777,111386,29,"North Indian,Chinese",179.0
23932,308169,29,Indian,140.0
24781,102578,29,"Chinese,Biryani",199.0
