restaurant_id,user_id,name,city,rating,rating_count,average_cost,cuisine,address
462172,2964,MOTHER'S BAKERY,Adityapur,--,Too Few Ratings,200,Bakery,"MOTHER'S BAKERY, 53/2/4, Road no 17, Adityapur 1, site no. 1 , beside patanjali store"
104481,2972,Thanco's Natural Ice Cream,Adityapur,4.5,20+ ratings,299,Ice Cream,"Thanco's Natural Ice Cream, Bistupur main road"
536499,2977,Gopalram Restaurant,Adityapur,--,Too Few Ratings,100,"South Indian,Chinese","Gopalram Restaurant, Road no 2, contractors area,  bistupur, jamshedpur, Muncipality,  Purbi Singhbhum, , Jharkhand"
532670,2981,MEDIVALS MEAL,Adityapur,--,Too Few Ratings,250,"Chinese,Indian","MEDIVALS MEAL, Q5WG+F73, Ram Das Bhatta, Bistupur, Jamshedpur, Jharkhand 831005, India"
113036,3007,Kwality,Adityapur,4.0,20+ ratings,499,"Indian,Chinese","Kwality, Main Road Bistupur"
536328,3034,Chinese Fusion,Adityapur,--,Too Few Ratings,200,Indian,"Chinese Fusion, GNS Tower, Ram Das Bhatta, Bistupur, Jamshedpur, Jharkhand 831005"
109548,3037,Bon Appetit,Adityapur,4.1,20+ ratings,300,"Indian,Chinese","Bon Appetit, Aviskar Tower, Bistupur Inner Circle Road"
364627,3052,JH05 Cafe,Adityapur,--,Too Few Ratings,200,"Chinese,Beverages","JH05 Cafe, COKE DEPO, M ROAD, BISTUPUR, P.O. & P.S. Bistupur, Muncipality, Purbi Singhbhum (Jharkhand), - 831001"
104147,3068,Social 75,Adityapur,4.0,20+ ratings,399,"Continental,Indian","Social 75, Aditya Tower, Bistupur main road, Jamshedpur"
553404,3076,AADD M AADD B,Adityapur,--,Too Few Ratings,180,"Ice Cream,Beverages","AADD M AADD B, Q5VM+2JC, N Rd, South Park, Bistupur, Jamshedpur, Jharkhand 831001, India"
271964,3079,Baskin Robbins,Adityapur,4.6,50+ ratings,250,"Desserts,Ice Cream","Baskin Robbins, EW20,MAIN ROAD, BISTUPUR NEAR BANK OF BARODA JAMSHEDPUR EAST SINGHBHUM, JHARKHAND"
102041,3090,Blue Sapphire,Adityapur,--,Too Few Ratings,200,"Indian,Biryani","Blue Sapphire, Shop No. 6A, Line No. 4, Bistupur Market, Jamshedpur"
497063,3093,BAMBOO CAFE,Adityapur,--,Too Few Ratings,100,"Indian,Chinese","BAMBOO CAFE, G.NS TOWER RAMDAS BHATTA BISTUPUR"
378028,3145,Sagar's Kitchen Kraft,Adityapur,3.7,50+ ratings,199,"Indian,Chinese","Sagar's Kitchen Kraft, HOLDING NO 1, LINE NO 4, BISTUPUR MARKET, BESIDE SAGAR SWEETS,  PurbiSinghbhum, Jharkhand-831001"
549633,3222,Pajji Da Lassi,Adityapur,--,Too Few Ratings,100,Beverages,"Pajji Da Lassi, Ground Floor, GNS Tower, Ram Das  Bhatta, Bistupur, Muncipality, Purbi  Singhbhum, , Jharkhand, 831001"
143194,3225,Fakira Chanachur (Tulsi Bhawan),Adityapur,--,Too Few Ratings,100,"Indian,Snacks","Fakira Chanachur (Tulsi Bhawan), 30 TULSI BHAWAN, BISTUPUR, JAMSHEDPUR"
327008,3229,The Food Circus,Adityapur,--,Too Few Ratings,299,"Chinese,Continental","The Food Circus, Contractors Area Road No 2, Contractors Area, Bistupur, Jamshedpur, Jharkhand, India"
497638,3273,Crunchicken,Adityapur,--,Too Few Ratings,300,"Indian,American","Crunchicken, Shop No. 21, Millennium Tower, R-Road, BIstupur, P.O. & P.S. Bistupur, Jamshedpur, Jamshedpur Urban, Purbi Singhbhum, Jharkhand-831001"
580202,3282,Delight Foods,Adityapur,--,Too Few Ratings,200,Indian,"Delight Foods, H.no DE3 Rani kudar Rd bhatta shop kadma"
377292,3294,SAGAR SWEETS,Adityapur,--,Too Few Ratings,250,"Indian,Snacks","SAGAR SWEETS, L4/1, Bistupur Market, P.O. & P.S. Bistupur , Jamshedpur Urban, Purbi Singhbhum, Jharkhand-831001"
102571,3299,Spice Zone( Hotel Nataraj),Adityapur,--,Too Few Ratings,250,Indian,"Spice Zone( Hotel Nataraj), Natraj Mansion Main Road Bistupur - 831001"
476303,3313,Lion's Pride,Adityapur,3.5,20+ ratings,200,North Indian,"Lion's Pride, KRISHNA KUNJ  INNER CIRCLE ROAD"
